team,num,name,type,dob,height,weight,club
TUN,11,Ferjani Sassi,player,1992-03-18,186,,Al-Gharafa
TUN,12,Mohamed Ali Ben Romdhane,player,1999-09-06,180,,Al Ahly
TUN,13,Team Photo,team photo,,,,
TUN,14,Hannibal Mejbri,player,2003-01-21,184,,Burnley
TUN,15,Elias Achouri,player,1999-02-10,177,,Copenhagen
TUN,16,Elias Saad,player,1999-12-27,185,,Hannover 96
TUN,17,Hazem Mastouri,player,1997-06-18,191,,Dynamo Makhachkala
TUN,18,Ismael Gharbi,player,2004-04-10,173,,FC Augsburg
TUN,19,Sayfallah Ltaief,player,2000-04-22,178,,Greuther Fürth
TUN,20,Naim Sliti,player,1992-07-27,173,,Al Shamal
TUR,1,Team Logo,team logo · foil,,,,
TUR,2,Ugurcan Cakir,player,1996-04-05,191,,Galatasaray
TUR,3,Mert Muldur,player,1999-04-03,188,,Fenerbahçe
TUR,4,Zeki Celik,player,1997-02-17,180,,Roma
TUR,5,Abdulkerim Bardakci,player,1994-09-07,185,,Galatasaray
TUR,6,Caglar Soyuncu,player,1996-05-23,185,,Fenerbahçe
TUR,7,Merih Demiral,player,1998-03-05,190,,Al-Ahli
TUR,8,Ferdi Kadioglu,player,1999-10-07,178,,Brighton & Hove Albion
TUR,9,Kaan Ayhan,player,1994-11-10,185,,Galatasaray
TUR,10,Ismail Yuksek,player,1999-01-26,183,,Fenerbahçe
TUR,11,Hakan Calhanoglu,player,1994-02-08,178,,Inter Milan
TUR,12,Orkun Kokcu,player,2000-12-29,175,,Beşiktaş
TUR,13,Team Photo,team photo,,,,
TUR,14,Arda Guler,player,2005-02-25,175,,Real Madrid
TUR,15,Irfan Can Kahveci,player,1995-07-15,176,,Kasımpaşa
TUR,16,Yunus Akgun,player,2000-07-07,173,,Galatasaray
TUR,17,Can Uzun,player,2005-11-11,186,,Eintracht Frankfurt
TUR,18,Baris Alper Yilmaz,player,,,,
TUR,19,Kerem Akturkoglu,player,1998-10-21,173,,Fenerbahçe
TUR,20,Kenan Yildiz,player,2005-05-04,185,,Juventus
URU,1,Team Logo,team logo · foil,,,,
URU,2,Sergio Rochet,player,1993-03-23,189,,Internacional
URU,3,Santiago Mele,player,1997-09-06,,,Monterrey
URU,4,Ronald Araujo,player,1999-03-07,191,,Barcelona
URU,5,José María Giménez,player,1995-01-20,185,,Atlético Madrid
URU,6,Sebastian Caceres,player,,,,
URU,7,Mathias Olivera,player,,,,
URU,8,Guillermo Varela,player,1993-03-24,173,,Flamengo
URU,9,Nahitan Nandez,player,1995-12-28,172,,Al-Qadsiah
URU,10,Federico Valverde,player,1998-07-22,182,,Real Madrid
URU,11,Giorgian De Arrascaeta,player,1994-06-01,174,,Flamengo
URU,12,Rodrigo Bentancur,player,1997-06-25,187,,Tottenham Hotspur
URU,13,Team Photo,team photo,,,,
URU,14,Manuel Ugarte,player,,,,
URU,15,Nicolás de la Cruz,player,1997-06-01,167,,Flamengo
URU,16,Maxi Araujo,player,,,,
URU,17,Darwin Núñez,player,1999-06-24,187,,Al-Hilal
URU,18,Federico Viñas,player,1998-06-30,181,,Oviedo
URU,19,Rodrigo Aguirre,player,1994-10-01,186,,UANL
URU,20,Facundo Pellistri,player,2001-12-20,175,,Panathinaikos
USA,1,Team Logo,team logo · foil,,,,
USA,2,Math Freese,player,,,,
USA,3,Chris Richards,player,,,,
USA,4,Tim Ream,player,1987-10-05,,,Charlotte FC
USA,5,Mark McKenzie,player,,,,
USA,6,Alex Freeman,player,2004-08-09,,,Villarreal
USA,7,Antonee Robinson,player,1997-08-08,,,Fulham
USA,8,Tyler Adams,player,,,,
USA,9,Tanner Tessmann,player,2001-09-24,,,Lyon
USA,10,Weston McKenny,player,,,,
USA,11,Christian Roldan,player,,,,
USA,12,Timothy Weah,player,2000-02-22,,,Marseille
USA,13,Team Photo,team photo,,,,
USA,14,Diego Luna,player,1979-12-29,,,
USA,15,Malik Tillman,player,2002-05-28,,,Bayer Leverkusen
USA,16,Christian Pulisic,player,1998-09-18,,,AC Milan
USA,17,Brenden Aaronson,player,2000-10-22,,,Leeds United
USA,18,Ricardo Pepi,player,2003-01-09,,,PSV
USA,19,Haji Wright,player,1998-03-27,,,Coventry City
USA,20,Folarin Balogun,player,2001-07-03,,,Monaco
UZB,1,Team Logo,team logo · foil,,,,
UZB,2,Utkir Yusupov,player,1991-01-04,185,,Navbahor
UZB,3,Farrukh Savfiev,player,,,,
UZB,4,Sherzod Nasrullaev,player,1998-07-23,,,Nasaf
UZB,5,Umar Eshmurodov,player,1992-11-30,185,,Nasaf
UZB,6,Husniddin Aliqulov,player,1999-04-04,186,,Çaykur Rizespor
UZB,7,Rustamjon Ashurmatov,player,1996-07-07,186,,Esteghlal
UZB,8,Khojiakbar Alijonov,player,1997-04-19,180,,Pakhtakor
UZB,9,Abdukodir Khusanov,player,2004-02-29,186,,Manchester City
UZB,10,Odiljon Hamrobekov,player,1996-02-13,178,,Tractor S.C.
UZB,11,Otabek Shukurov,player,1996-06-22,182,,Baniyas
UZB,12,Jamshid Iskanderov,player,1993-10-16,,,Neftchi Fergana
UZB,13,Team Photo,team photo,,,,
UZB,14,Azizbek Turgunboev,player,1994-10-01,173,,Andijon
UZB,15,Khojimat Erkinov,player,2001-05-29,174,,Pakhtakor
UZB,16,Eldor Shomurodov,player,1995-06-29,190,,İstanbul Başakşehir
UZB,17,Oston Urunov,player,2000-12-19,181,,Persepolis
UZB,18,Jaloliddin Masharipov,player,1993-09-01,173,,Esteghlal
UZB,19,Igor Sergeev,player,1993-04-30,185,,Persepolis
UZB,20,Abbosbek Fayzullaev,player,2003-10-03,167,,İstanbul Başakşehir
